date;transaction_details;description;category;payment_method;withdrawal_amt;deposit_amt;user_id
2024-02-17;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;764.0;0.0;1
2024-02-17;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;137.0;0.0;1
2024-02-17;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;992.0;0.0;1
2024-02-18;Planning;Fees for planning applications or permits;Other Expenses;Online banking;611.0;0.0;1
2024-02-18;Planning;Fees for planning applications or permits;Other Expenses;Online banking;938.0;0.0;1
2024-02-18;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;41.0;0.0;1
2024-02-18;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;560.0;0.0;1
2024-02-18;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;806.0;0.0;1
2024-02-18;Utilities Deposit;Deposit for utilities bill correction;Utilities;Others;190.0;0.0;1
2024-02-18;Shopping;Shopping expenses;Shopping;Cash;240.0;0.0;1
2024-02-18;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-02-18;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;245.0;0.0;1
2024-02-18;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;333.0;0.0;1
2024-02-18;Planning;Fees for planning applications or permits;Other Expenses;Online banking;853.0;0.0;1
2024-02-19;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;753.0;0.0;1
2024-02-19;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;178.0;0.0;1
2024-02-19;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;628.0;0.0;1
2024-02-19;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;812.0;0.0;1
2024-02-19;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;96.0;0.0;1
2024-02-19;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;572.0;0.0;1
2024-02-19;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;287.0;0.0;1
2024-02-19;Investment Returns;Returns from investment;Investment;Others;400.0;0.0;1
2024-02-19;Mobile Phone Bill;Monthly bill for mobile phone usage;Utilities;Online banking;50.0;0.0;1
2024-02-19;Car Maintenance;Routine car maintenance;Transportation;Online banking;230.0;0.0;1
2024-02-19;Investment;Investment in stocks;Investment;Bank transfer;570.0;0.0;1
2024-02-19;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;63.0;0.0;1
2024-02-19;Planning;Fees for planning applications or permits;Other Expenses;Online banking;377.0;0.0;1
2024-02-19;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;970.0;0.0;1
2024-02-19;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;33.0;0.0;1
2024-02-19;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;425.0;0.0;1
2024-02-19;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;701.0;0.0;1
2024-02-19;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;831.0;0.0;1
2024-02-20;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;673.0;0.0;1
2024-02-20;Meals;Charges for meals;Other Expenses;Online payment;910.0;0.0;1
2024-02-20;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;512.0;0.0;1
2024-02-20;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;741.0;0.0;1
2024-02-20;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;209.0;0.0;1
2024-02-20;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;644.0;0.0;1
2024-02-20;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;875.0;0.0;1
2024-02-20;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;333.0;0.0;1
2024-02-20;Car Insurance;Annual car insurance premium;Insurance;Bank transfer;1400.0;0.0;1
2024-02-20;Dining Out;Expenses for dining out;Dining;Cash;105.0;0.0;1
2024-02-20;Electricity Bill;Monthly electricity utility bill;Utilities;Direct debit;80.0;0.0;1
2024-02-20;Bookstore;Purchase of books;Shopping;Debit Card;70.0;0.0;1
2024-02-20;Nurseries;Fees for childcare services;Other Expenses;Direct debit;198.0;0.0;1
2024-02-20;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;879.0;0.0;1
2024-02-20;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;654.25;0.0;1
2024-02-20;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;754.0;0.0;1
2024-02-20;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;745.0;0.0;1
2024-02-20;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;56.0;0.0;1
2024-02-20;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;162.0;0.0;1
2024-02-20;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;326.0;0.0;1
2024-02-20;Property Maintenance;;Other Expenses;Others;287.0;0.0;1
2024-02-20;Planning;Fees for planning applications or permits;Other Expenses;Online banking;67.0;0.0;1
2024-02-20;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;367.0;0.0;1
2024-02-20;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;151.22;0.0;1
2024-02-20;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;233.0;0.0;1
2024-02-20;Meals;Charges for meals;Other Expenses;Online payment;876.0;0.0;1
2024-02-20;Nurseries;Fees for childcare services;Other Expenses;Direct debit;289.0;0.0;1
2024-02-20;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;162.0;0.0;1
2024-02-21;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;880.0;0.0;1
2024-02-21;Planning;Fees for planning applications or permits;Other Expenses;Online banking;89.0;0.0;1
2024-02-21;Home Ownership;;Other Expenses;Others;587.0;0.0;1
2024-02-21;Property Maintenance;;Other Expenses;Others;754.0;0.0;1
2024-02-21;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;326.0;0.0;1
2024-02-21;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;478.0;0.0;1
2024-02-21;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;745.0;0.0;1
2024-02-21;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;223.0;0.0;1
2024-02-21;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;611.0;0.0;1
2024-02-21;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;938.0;0.0;1
2024-02-21;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1500.0;1
2024-02-21;Shopping;Shopping expenses;Shopping;Cash;250.0;0.0;1
2024-02-21;Health Insurance;Monthly health insurance premium;Insurance;Online banking;175.0;0.0;1
2024-02-21;Movie Tickets;Expenses for movie tickets;Entertainment;Online payment;40.0;0.0;1
2024-02-21;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;184.0;0.0;1
2024-02-21;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;184.0;0.0;1
2024-02-21;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;124.0;0.0;1
2024-02-21;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;753.0;0.0;1
2024-02-21;Nurseries;Fees for childcare services;Other Expenses;Direct debit;283.0;0.0;1
2024-02-21;Property Maintenance;;Other Expenses;Others;38.0;0.0;1
2024-02-21;Property Maintenance;;Other Expenses;Others;469.08;0.0;1
2024-02-21;Planning;Fees for planning applications or permits;Other Expenses;Online banking;67.0;0.0;1
2024-02-21;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;287.0;0.0;1
2024-02-21;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;72.0;0.0;1
2024-02-21;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;600.0;0.0;1
2024-02-21;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;669.0;0.0;1
2024-02-21;Planning;Fees for planning applications or permits;Other Expenses;Online banking;892.0;0.0;1
2024-02-21;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;863.3;0.0;1
2024-02-22;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;41.0;0.0;1
2024-02-22;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;298.0;0.0;1
2024-02-22;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;806.0;0.0;1
2024-02-22;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;753.0;0.0;1
2024-02-22;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;178.0;0.0;1
2024-02-22;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;628.0;0.0;1
2024-02-22;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;365.0;0.0;1
2024-02-22;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;812.0;0.0;1
2024-02-22;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;96.0;0.0;1
2024-02-22;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;572.0;0.0;1
2024-02-22;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-02-22;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;250.0;0.0;1
2024-02-22;Mobile Phone Bill;Monthly bill for mobile phone usage;Utilities;Online banking;45.0;0.0;1
2024-02-22;Shopping;Shopping expenses;Shopping;Cash;220.0;0.0;1
2024-02-22;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;611.0;0.0;1
2024-02-22;Planning;Fees for planning applications or permits;Other Expenses;Online banking;289.0;0.0;1
2024-02-22;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;372.0;0.0;1
2024-02-22;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;321.0;0.0;1
2024-02-22;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;189.0;0.0;1
2024-02-22;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;771.0;0.0;1
2024-02-22;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;875.0;0.0;1
2024-02-22;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;916.0;0.0;1
2024-02-22;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;95.0;0.0;1
2024-02-22;Property Maintenance;;Other Expenses;Others;721.0;0.0;1
2024-02-22;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;321.0;0.0;1
2024-02-23;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;287.0;0.0;1
2024-02-23;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;673.0;0.0;1
2024-02-23;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;910.0;0.0;1
2024-02-23;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;512.0;0.0;1
2024-02-23;Investment;Investment in mutual funds;Investment;Bank transfer;700.0;0.0;1
2024-02-23;Dining Out;Expenses for dining out;Dining;Cash;92.0;0.0;1
2024-02-23;Gym Membership;Monthly membership fee for gym;Health & Fitness;Debit Card;85.0;0.0;1
2024-02-23;Utilities Deposit;Deposit for utilities bill correction;Utilities;Others;180.0;0.0;1
2024-02-23;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;692.0;0.0;1
2024-02-23;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;752.0;0.0;1
2024-02-23;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;657.0;0.0;1
2024-02-23;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;611.0;0.0;1
2024-02-23;Housing Rent;Rental payments for housing accommodations;Other Expenses;Direct debit;1100.0;0.0;1
2024-02-23;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;938.0;0.0;1
2024-02-23;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;433.0;0.0;1
2024-02-23;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;812.0;0.0;1
2024-02-23;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;238.0;0.0;1
2024-02-24;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;209.0;0.0;1
2024-02-24;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;644.0;0.0;1
2024-02-24;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;875.0;0.0;1
2024-02-24;Property Maintenance;;Other Expenses;Others;57.0;0.0;1
2024-02-24;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;89.0;0.0;1
2024-02-24;Health Insurance;Monthly health insurance premium;Insurance;Online banking;180.0;0.0;1
2024-02-24;Movie Tickets;Expenses for movie tickets;Entertainment;Online payment;45.0;0.0;1
2024-02-24;Car Insurance;Annual car insurance premium;Insurance;Bank transfer;1400.0;0.0;1
2024-02-24;Dining Out;Expenses for dining out;Dining;Cash;100.0;0.0;1
2024-02-24;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;644.0;0.0;1
2024-02-24;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;88.0;0.0;1
2024-02-24;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;311.0;0.0;1
2024-02-24;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;752.0;0.0;1
2024-02-24;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;326.0;0.0;1
2024-02-25;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;587.0;0.0;1
2024-02-25;Property Maintenance;;Other Expenses;Others;162.0;0.0;1
2024-02-25;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;754.0;0.0;1
2024-02-25;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;326.0;0.0;1
2024-02-25;Mobile Phone Bill;Monthly bill for mobile phone usage;Utilities;Online banking;52.0;0.0;1
2024-02-25;Shopping;Shopping expenses;Shopping;Cash;260.0;0.0;1
2024-02-25;Travel;Travel expenses for vacation;Travel;Debit Card;1100.0;0.0;1
2024-02-25;Investment Returns;Returns from investment;Investment;Others;380.0;0.0;1
2024-02-25;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;326.0;0.0;1
2024-02-25;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;333.0;0.0;1
2024-02-25;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;326.0;0.0;1
2024-02-26;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;745.0;0.0;1
2024-02-26;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;223.0;0.0;1
2024-02-26;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;611.0;0.0;1
2024-02-26;Nurseries;Fees for childcare services;Other Expenses;Direct debit;938.0;0.0;1
2024-02-26;Gym Membership;Monthly membership fee for gym;Health & Fitness;Debit Card;85.0;0.0;1
2024-02-26;Utilities Deposit;Deposit for utilities bill correction;Utilities;Others;200.0;0.0;1
2024-02-26;School Fees;Fees for children's school;Education;Online banking;590.0;0.0;1
2024-02-26;Petrol;Fuel expenses for the car;Transportation;Debit Card;115.0;0.0;1
2024-02-26;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;572.0;0.0;1
2024-02-26;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;98.0;0.0;1
2024-02-26;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;298.0;0.0;1
2024-02-26;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;192.0;0.0;1
2024-02-26;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;745.0;0.0;1
2024-02-27;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;298.0;0.0;1
2024-02-27;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;753.0;0.0;1
2024-02-27;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;178.0;0.0;1
2024-02-27;Planning;Fees for planning applications or permits;Other Expenses;Online banking;628.0;0.0;1
2024-02-27;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;365.0;0.0;1
2024-02-27;Car Maintenance;Routine car maintenance;Transportation;Online banking;240.0;0.0;1
2024-02-27;Shopping;Shopping expenses;Shopping;Cash;270.0;0.0;1
2024-02-27;Health Insurance;Monthly health insurance premium;Insurance;Online banking;175.0;0.0;1
2024-02-27;Shopping;Shopping expenses;Shopping;Cash;210.0;0.0;1
2024-02-27;Planning;Fees for planning applications or permits;Other Expenses;Online banking;611.0;0.0;1
2024-02-27;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;514.0;0.0;1
2024-02-27;Property Maintenance;;Other Expenses;Others;741.0;0.0;1
2024-02-27;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;625.0;0.0;1
2024-02-27;Planning;Fees for planning applications or permits;Other Expenses;Online banking;611.0;0.0;1
2024-02-28;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;812.0;0.0;1
2024-02-28;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;96.0;0.0;1
2024-02-28;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;572.0;0.0;1
2024-02-28;Property Maintenance;;Other Expenses;Others;287.0;0.0;1
2024-02-28;Investment Returns;Returns from investment;Investment;Others;420.0;0.0;1
2024-02-28;Dining Out;Expenses for dining out;Dining;Cash;110.0;0.0;1
2024-02-28;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-02-28;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;240.0;0.0;1
2024-02-28;Planning;Fees for planning applications or permits;Other Expenses;Online banking;75.0;0.0;1
2024-02-28;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;875.0;0.0;1
2024-02-29;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;673.0;0.0;1
2024-02-29;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;512.0;0.0;1
2024-02-29;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;741.0;0.0;1
2024-02-29;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;209.0;0.0;1
2024-02-29;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;644.0;0.0;1
2024-02-29;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;875.0;0.0;1
2024-02-29;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;333.0;0.0;1
2024-02-29;Investment;Investment in mutual funds;Investment;Bank transfer;750.0;0.0;1
2024-02-29;Dining Out;Expenses for dining out;Dining;Cash;95.0;0.0;1
2024-02-29;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;97.0;0.0;1
2024-02-29;Home Ownership;;Other Expenses;Others;635.0;0.0;1
2024-02-29;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;811.0;0.0;1
2024-02-29;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;894.0;0.0;1
2024-02-29;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;687.0;0.0;1
2024-02-29;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;309.0;0.0;1
2024-03-01;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;970.0;0.0;1
2024-03-01;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;57.0;0.0;1
2024-03-01;Fund Transfer From Bank Rakyat;Transfer of funds from Bank Rakyat;Income/Salary;Bank transfer;0.0;100000.0;1
2024-03-01;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;50000.0;1
2024-03-01;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;354.0;0.0;1
2024-03-01;Property Maintenance;;Other Expenses;Others;721.0;0.0;1
2024-03-01;Utilities Deposit;Deposit for utilities bill correction;Utilities;Others;190.0;0.0;1
2024-03-01;Meals;Charges for meals;Other Expenses;Online payment;900.0;0.0;1
2024-03-01;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;644.0;0.0;1
2024-03-02;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;166.0;0.0;1
2024-03-02;Meals;Charges for meals;Other Expenses;Online payment;508.0;0.0;1
2024-03-02;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;932.0;0.0;1
2024-03-02;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;245.0;0.0;1
2024-03-02;Car Maintenance;Routine car maintenance;Transportation;Online banking;240.0;0.0;1
2024-03-02;Shopping;Shopping expenses;Shopping;Cash;230.0;0.0;1
2024-03-02;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;237.0;0.0;1
2024-03-02;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;392.9;0.0;1
2024-03-02;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;895.0;0.0;1
2024-03-02;Planning;Fees for planning applications or permits;Other Expenses;Online banking;89.0;0.0;1
2024-03-02;Planning;Fees for planning applications or permits;Other Expenses;Online banking;938.0;0.0;1
2024-03-02;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment;948.88;0.0;1
2024-03-02;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;91.0;0.0;1
2024-03-02;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;411.0;0.0;1
2024-03-02;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;912.0;0.0;1
2024-03-02;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;365.0;0.0;1
2024-03-03;Nurseries;Fees for childcare services;Other Expenses;Direct debit;413.0;0.0;1
2024-03-03;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;4000.0;1
2024-03-03;Nurseries;Fees for childcare services;Other Expenses;Direct debit;668.0;0.0;1
2024-03-03;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;178.0;0.0;1
2024-03-03;Planning;Fees for planning applications or permits;Other Expenses;Online banking;924.0;0.0;1
2024-03-03;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;367.0;0.0;1
2024-03-03;Investment Returns;Returns from investment;Investment;Others;400.0;0.0;1
2024-03-03;Movie Tickets;Expenses for movie tickets;Entertainment;Online payment;45.0;0.0;1
2024-03-03;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;560.0;0.0;1
2024-03-03;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;212.0;0.0;1
2024-03-03;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;753.0;0.0;1
2024-03-03;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;726.0;0.0;1
2024-03-04;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;812.0;0.0;1
2024-03-04;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;731.0;0.0;1
2024-03-04;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;96.0;0.0;1
2024-03-04;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;572.0;0.0;1
2024-03-04;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-03-04;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;80.0;0.0;1
2024-03-05;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;20000.0;1
2024-03-05;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;417.0;0.0;1
2024-03-05;Property Maintenance;;Other Expenses;Others;126.0;0.0;1
2024-03-06;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;514.0;0.0;1
2024-03-06;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;309.0;0.0;1
2024-03-06;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;664.0;0.0;1
2024-03-07;Housing Rent;Rental payments for housing accommodations;Other Expenses;Direct debit;1100.0;0.0;1
2024-03-07;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;875.0;0.0;1
2024-03-07;Salary;Monthly salary;Income/Salary;Bank transfer;0.0;5400.0;1
2024-03-08;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;433.0;0.0;1
2024-03-08;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;8130.0;1
2024-03-08;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1200.0;1
2024-03-08;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1500.0;1
2024-03-08;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1800.0;1
2024-03-08;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;578.0;0.0;1
2024-03-08;Fund Transfer From Bank Islam;Transfer of funds from Bank Islam;Income/Salary;Bank transfer;0.0;20000.0;1
2024-03-08;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;812.0;0.0;1
2024-03-08;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;633.0;0.0;1
2024-03-08;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;992.0;0.0;1
2024-03-09;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;667.0;1
2024-03-09;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;870.0;1
2024-03-09;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;294.0;0.0;1
2024-03-09;Nurseries;Fees for childcare services;Other Expenses;Direct debit;611.0;0.0;1
2024-03-09;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;948.0;0.0;1
2024-03-09;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;326.0;0.0;1
